configuration,attack_family,n,attack_success_rate
C1,instruction_override,10,0.0
C1,context_contamination,2,1.0
C1,tool_abuse,8,0.0
C1,data_exfiltration,5,0.4
C2,instruction_override,10,0.0
C2,context_contamination,2,1.0
C2,tool_abuse,8,0.5
C2,data_exfiltration,5,0.2
C3,instruction_override,10,0.0
C3,context_contamination,2,1.0
C3,tool_abuse,8,0.75
C3,data_exfiltration,5,0.4
C4,instruction_override,10,0.0
C4,context_contamination,2,1.0
C4,tool_abuse,8,0.125
C4,data_exfiltration,5,0.4
C5,instruction_override,10,0.0
C5,context_contamination,2,1.0
C5,tool_abuse,8,0.0
C5,data_exfiltration,5,0.0
