configuration,attack_family,n,attack_success_rate
C1,instruction_override,10,0.1
C1,context_contamination,4,0.25
C1,tool_abuse,5,0.4
C1,data_exfiltration,6,1.0
C2,instruction_override,10,0.1
C2,context_contamination,4,0.5
C2,tool_abuse,5,0.8
C2,data_exfiltration,6,0.8333333333333334
C3,instruction_override,10,0.1
C3,context_contamination,4,0.5
C3,tool_abuse,5,0.8
C3,data_exfiltration,6,0.6666666666666666
C4,instruction_override,10,0.1
C4,context_contamination,4,0.5
C4,tool_abuse,5,0.4
C4,data_exfiltration,6,0.6666666666666666
C5,instruction_override,10,0.0
C5,context_contamination,4,0.25
C5,tool_abuse,5,0.0
C5,data_exfiltration,6,0.0
