configuration,attack_family,n,attack_success_rate
C1,instruction_override,10,0.3
C1,context_contamination,9,0.7777777777777778
C1,tool_abuse,7,0.42857142857142855
C1,data_exfiltration,7,0.7142857142857143
C2,instruction_override,10,0.3
C2,context_contamination,9,0.6666666666666666
C2,tool_abuse,7,0.8571428571428571
C2,data_exfiltration,7,0.8571428571428571
C3,instruction_override,10,0.3
C3,context_contamination,9,0.4444444444444444
C3,tool_abuse,7,0.8571428571428571
C3,data_exfiltration,7,0.8571428571428571
C4,instruction_override,10,0.2
C4,context_contamination,9,0.4444444444444444
C4,tool_abuse,7,0.14285714285714285
C4,data_exfiltration,7,0.2857142857142857
C5,instruction_override,10,0.0
C5,context_contamination,9,0.3333333333333333
C5,tool_abuse,7,0.14285714285714285
C5,data_exfiltration,7,0.0
